shortCountry,country,Onshore wind,Offshore wind,Wave device,Geothermal electric plant,Hydroelectric plant,Tidal turbine,Res. roof PV system,Com/gov/Indus roof PV system,Solar PV plant,CSP plant ,Sum(excludeHydro)
 SDN ,Sudan,0.153807686,0.128173071,0,0,0.066078217,0.000260132,0.172540673,0.328648901,0.038451921,0.112039398,0.933921782
 SWE ,Sweden,0.364220437,0.303517031,0,2.06E-15,0.18688541,0.000563711,0.037034068,0.016724234,0.091055109,0,0.81311459
 CHE ,Switzerland,0.207015321,0,0,3.97E-15,0.30485978,0,0.112710475,0.092514354,0.281778972,0.001121099,0.695140221
 SYR ,Syrian Arab Republic,0.175720748,0.10700335,0,0,0.04810237,0.000107757,0.175890769,0.335030036,0.043930187,0.114214785,0.951897632
 TJK ,Tajikistan,0.03264296,0,0,3.06E-14,0.8811081,0,0.021971223,0.041849949,0.00816074,0.014267028,0.1188919
 TZA ,"Tanzania, United Republic of",0.331046815,0.054238061,0.006041769,0,0.008521028,0.003731875,0.252025081,0.143829028,0.082761704,0.117804639,0.991478972
 THA ,Thailand,0.032405259,0.162747308,0,0.000697307,0.011327071,6.78E-05,0.256840539,0.135528799,0.281837006,0.118548942,0.988672929
 TGO ,Togo,0.198447355,0.179850168,0.006614416,0,0.011879125,0.000275673,0.267659597,0.098741386,0.118784586,0.117747694,0.988120875
 TTO ,Trinidad and Tobago,0.002703516,0.290503632,0.002991384,0,0,0.000198637,0.122399617,0.028534084,0.433051932,0.119617197,0.999999999
 TUN ,Tunisia,0.217630421,0.181358684,0,5.61E-15,0.002056176,0.000334719,0.24413669,0.180362614,0.054407605,0.119713093,0.997943826
 TUR ,Turkey,0.266553177,0.000647013,0,0.006655774,0.129300252,0.000177012,0.179759184,0.24660526,0.066638294,0.103664035,0.870699749
 TKM ,Turkmenistan,0.499190816,0,0,0,1.72E-05,0,0.1549591,0.101037271,0.124797704,0.11999794,0.999982831
 UKR ,Ukraine,0.414659968,0.345549973,0,8.39E-16,0.025502017,8.90E-05,0.07319217,0.037341833,0.103664992,0,0.974497983
 ARE ,United Arab Emirates,0.070069345,0.118756952,0,0,0,5.13E-05,0.042148633,0.02400336,0.624976592,0.119993848,1
 GBR ,United Kingdom,0.131312649,0.355679872,0.024860018,5.76E-16,0.005435802,0.01795463,0.034955686,0.027594185,0.402207159,0,0.994564199
 USA ,United States,0.21319849,0.170866654,0.010789429,0.004147745,0.028020885,6.09E-05,0.144848655,0.117900068,0.195329476,0.114837729,0.971979116
 URY ,Uruguay,0.163553543,0.136294619,0.014477869,0,0.158216898,0.000771261,0.183473526,0.203139821,0.040888386,0.099184077,0.841783102
 UZB ,Uzbekistan,0.294456118,0,0,0,0.01747432,0,0.263298713,0.112340562,0.194527205,0.117903082,0.98252568
 VEN ,Venezuela,0.209830247,0.174858539,0.001006773,1.05E-15,0.08976563,0.000111851,0.235386495,0.127489014,0.052457562,0.109093889,0.91023437
 VNM ,Vietnam,0.00879637,0.162540965,0.006880841,1.06E-15,0.089325005,0.000128857,0.218805146,0.170067902,0.235015078,0.108439836,0.910674995
 YEM ,Yemen,0.057061382,0.128333585,0.050589469,0.013462817,0,0.001116824,0.172756748,0.329060473,0.135438994,0.112179707,0.999999999
 ZMB ,Zambia,0.246985595,0,0,0.006686712,0.09374454,0,0.166240305,0.316648199,0.061746399,0.10794825,0.90625546
 ZWE ,Zimbabwe,0.411747316,0,0,0,0.022648729,0,0.277137616,0.068247358,0.102936829,0.117282153,0.977351272
