Item,a1,a2,a3,ak0,ak1,ak2,ak3,ak4,ak5,ak6,ak7,ak8,ak9,Codes Used,Item Type,Model Required,d0,d1,d2,ak3,d3,ak4,d4,ak5,ak6,d5,d6,ak7,d7,ak8,ak9,d8,d9
V126,0.344816818,1.494873176,-2.330926032,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,5.787052353,6.266119797,3,2.472126339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V127,0.435803033,-0.018723817,-0.176764548,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,0.332321453,-1.377942919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V128,0.482932355,-0.022623057,0.665372851,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-1.127049856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V129,1.96213628,-0.332590751,0.383774271,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,2.618850523,1.553800544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V130,0.222509251,-0.227451226,0.404264335,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,0.00550848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V142,0.355221405,1.354276241,-2.323799059,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-1.15192703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V225,1.768755393,-0.07144824,0.078082057,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,1.252809065,-0.172024768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V226,-0.938522743,-0.422771197,-0.686991177,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,-0.77118342,-3.900849139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V227,-0.890492626,-0.534764079,-0.54272743,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,-1.298417582,-4.053719914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V217,-0.619035215,0.05168456,-0.800409623,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,1.550785347,0.619139572,3,0.691671768,4,0.076096037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
