"","PC1","PC2","PC3","PC4","PC5"
"V146_6",0.006,0.006,0,0,0.002
"V146_7",0.019,0.017,0.03,0.004,-0.001
"V146_8",0.069,0.101,-0.038,0.01,0.058
"V147_1",-0.099,-0.106,-0.028,-0.021,0.001
"V147_2",0.058,0.067,0.02,-0.003,0.038
"V147_3",0.036,0.026,0.018,0.014,-0.028
"V148_1",-0.06,-0.127,0.085,-0.127,0.092
"V149_1",-0.102,-0.064,0.118,-0.019,0.092
"V150_1",-0.053,0.04,0.033,0.104,-0.007
"V150_3",0.004,0.002,0.007,0.006,0.002
"V150_4",-0.002,-0.001,0.005,0.003,0.003
"V151_1",-0.064,-0.004,0.03,0.1,0.001
"V151_3",0.01,0.006,0.018,0.015,0.005
"V151_4",-0.001,-0.001,0.004,0.002,0.003
"V153_1",-0.116,0.012,-0.054,0.155,-0.04
"V153_2",-0.041,-0.055,0.027,-0.014,-0.018
"V153_3",0.071,-0.007,0.028,-0.098,0.002
"V153_4",0.073,0.03,-0.01,-0.012,0.062
"V154_1",-0.113,0.078,-0.081,0.096,0.019
"V154_2",-0.035,0.015,0.015,-0.029,-0.013
"V154_3",0.049,-0.093,0.041,-0.056,-0.032
"V154_4",0.073,-0.04,0.002,0.001,0.048
"V155_1",-0.014,-0.063,0.029,0.02,0.048
"V155_2",0.01,-0.065,0.032,-0.015,0
"V155_3",0.011,0.035,0,-0.023,-0.04
"V155_4",-0.021,0.061,-0.071,0.028,0.016
"V156_1",0.003,-0.039,0.001,-0.01,0.07
"V156_2",0.021,-0.044,0.015,-0.047,0.026
"V156_3",-0.02,0.002,0,0.026,-0.036
"V156_4",-0.019,0.016,-0.02,0.034,-0.024
"V211_1",-0.094,-0.089,-0.03,0.025,0.11
"V211_2",0.059,0.056,0.02,-0.008,-0.073
"V211_3",0.02,0.019,0.011,-0.012,-0.032
"V211_4",0.004,0.004,0.001,-0.006,-0.005
"V211_5",0.005,0.002,-0.003,-0.001,0.006
"V103_1",-0.034,0.035,-0.01,0.034,0.032
"V103_2",0.015,0.04,0.032,0.001,-0.009
"V103_3",0.001,-0.038,0.007,-0.038,-0.034
"V103_4",-0.006,-0.028,-0.018,-0.029,-0.015
"V104_1",0,0.021,-0.014,0.052,0.026
"V104_2",0.028,0.048,0.025,-0.031,-0.015
"V104_3",-0.033,-0.045,0.006,-0.039,-0.027
"V104_4",-0.016,-0.015,-0.007,-0.014,-0.01
"V106_1",0.002,-0.015,0.007,0.006,0.007
"V106_2",0.042,-0.042,0.04,0.002,0.038
"V106_3",-0.016,0.01,0.046,-0.028,-0.024
"V106_4",-0.066,0.027,-0.068,-0.006,-0.022
"V107_1",0.004,-0.007,0.002,0.006,0.009
"V107_2",0.049,-0.002,0.007,-0.021,0.055
"V107_3",-0.015,0.011,0.054,-0.008,-0.028
"V107_4",-0.071,-0.019,-0.037,-0.004,-0.035
"V212_1",-0.048,-0.079,0.06,-0.028,0.06
"V212_2",0.038,-0.02,0.016,-0.002,-0.069
