"","V2","V258","V81","V82","V83"
"514",12,1,3,2,2
"515",12,1,-2,2,2
"516",12,1,2,2,2
"517",12,1,3,2,2
"518",12,1,3,2,2
"519",12,1,3,2,2
"520",12,1,-2,-2,-2
"521",12,1,1,-2,2
"522",12,1,1,2,2
"523",12,1,-2,-2,-2
"524",12,1,2,2,2
"525",12,1,1,-2,2
"526",12,1,1,-2,-2
"527",12,1,1,2,2
"528",12,1,1,2,2
"529",12,1,2,-2,2
"530",12,1,-2,-2,-2
"531",12,1,2,2,2
"532",12,1,2,2,2
"533",12,1,-2,2,2
"534",12,1,1,1,2
"535",12,1,2,2,2
"536",12,1,1,2,2
"537",12,1,2,-2,2
"538",12,1,-2,2,2
"539",12,1,1,2,2
"540",12,1,-2,2,2
"541",12,1,2,2,2
"542",12,1,2,2,2
"543",12,1,2,2,2
"544",12,1,1,1,2
"545",12,1,2,2,2
"546",12,1,1,2,2
"547",12,1,2,2,2
"548",12,1,2,2,2
"549",12,1,3,2,2
"550",12,1,3,-2,1
"551",12,1,2,2,2
"552",12,1,2,2,2
"553",12,1,2,2,2
"554",12,1,-2,2,2
"555",12,1,2,2,2
"556",12,1,-2,2,2
"557",12,1,2,2,2
"558",12,1,1,2,2
"559",12,1,2,2,2
"560",12,1,-2,2,2
"561",12,1,1,2,2
"562",12,1,1,2,2
"563",12,1,1,2,2
"564",12,1,2,2,2
"565",12,1,2,2,2
"566",12,1,2,2,2
"567",12,1,1,2,2
"568",12,1,1,2,1
"569",12,1,2,2,2
"570",12,1,1,2,2
"571",12,1,2,2,2
"572",12,1,1,2,2
"573",12,1,2,2,2
"574",12,1,1,2,2
"575",12,1,2,2,2
"576",12,1,2,2,2
"577",12,1,2,2,2
"578",12,1,1,2,2
"579",12,1,1,2,2
"580",12,1,2,2,2
"581",12,1,2,2,2
"582",12,1,2,2,2
"583",12,1,2,2,2
"584",12,1,2,2,2
"585",12,1,1,2,2
"586",12,1,2,2,2
"587",12,1,1,2,2
"588",12,1,2,2,2
"589",12,1,2,2,2
"590",12,1,1,2,2
"591",12,1,2,2,2
"592",12,1,-2,2,2
"593",12,1,2,2,2
"594",12,1,2,2,2
"595",12,1,2,2,2
"596",12,1,2,2,2
"597",12,1,2,2,2
"598",12,1,2,2,2
"599",12,1,2,2,2
"600",12,1,2,2,2
"601",12,1,2,2,2
"602",12,1,2,2,2
"603",12,1,2,2,2
"604",12,1,2,2,2
"605",12,1,2,2,2
"606",12,1,1,1,1
"607",12,1,2,2,2
"608",12,1,3,2,2
"609",12,1,2,-2,-2
"610",12,1,2,2,2
"611",12,1,2,2,2
"612",12,1,2,2,2
"613",12,1,2,2,2
"614",12,1,2,2,2
"615",12,1,2,2,2
"616",12,1,2,2,2
"617",12,1,2,2,2
"618",12,1,2,2,2
"619",12,1,2,2,2
"620",12,1,2,2,2
"621",12,1,2,2,2
"622",12,1,2,2,2
"623",12,1,2,2,2
"624",12,1,2,2,2
"625",12,1,2,2,2
"626",12,1,2,2,2
"627",12,1,2,2,2
"628",12,1,2,2,2
"629",12,1,2,2,2
"630",12,1,-2,2,2
"631",12,1,2,2,-2
"632",12,1,3,-2,2
"633",12,1,2,2,2
"634",12,1,2,2,2
"635",12,1,2,2,2
"636",12,1,2,2,2
"637",12,1,2,2,2
"638",12,1,2,2,2
"639",12,1,2,2,2
"640",12,1,2,2,2
"641",12,1,1,2,2
"642",12,1,2,2,1
"643",12,1,-2,2,2
"644",12,1,1,2,2
"645",12,1,1,2,2
"646",12,1,2,2,2
"647",12,1,2,1,2
"648",12,1,1,2,2
"649",12,1,2,2,2
"650",12,1,1,2,2
"651",12,1,1,2,2
"652",12,1,1,2,2
"653",12,1,2,2,2
"654",12,1,1,2,2
"655",12,1,1,2,2
"656",12,1,1,2,2
"657",12,1,1,2,2
"658",12,1,2,1,1
"659",12,1,1,2,2
"660",12,1,1,2,2
"661",12,1,2,2,2
"662",12,1,3,2,2
"663",12,1,3,-2,-2
"664",12,1,3,2,2
"665",12,1,2,2,2
"666",12,1,-2,2,2
"667",12,1,3,2,2
"668",12,1,-2,2,2
"669",12,1,1,2,2
"670",12,1,-2,2,2
"671",12,1,2,2,2
"672",12,1,1,2,2
"673",12,1,1,2,2
"674",12,1,-2,-2,2
"675",12,1,2,2,2
"676",12,1,1,1,1
"677",12,1,2,2,2
"678",12,1,2,2,2
"679",12,1,-2,2,2
"680",12,1,1,2,2
"681",12,1,1,2,2
"682",12,1,-2,2,2
"683",12,1,2,2,2
"684",12,1,3,2,2
"685",12,1,-2,2,2
"686",12,1,1,2,2
"687",12,1,3,2,2
"688",12,1,-2,2,2
"689",12,1,-2,2,2
"690",12,1,3,2,2
"691",12,1,2,2,2
"692",12,1,2,2,2
"693",12,1,3,2,2
"694",12,1,3,2,2
"695",12,1,1,2,2
"696",12,1,-2,2,2
"697",12,1,3,2,2
"698",12,1,-2,2,2
"699",12,1,1,2,2
"700",12,1,2,2,2
"701",12,1,1,2,2
"702",12,1,-2,2,2
"703",12,1,1,1,2
"704",12,1,1,2,2
"705",12,1,1,2,2
"706",12,1,-2,2,2
"707",12,1,1,2,2
"708",12,1,2,2,2
"709",12,1,2,2,2
"710",12,1,2,2,2
"711",12,1,2,2,2
"712",12,1,2,2,2
"713",12,1,1,2,2
"714",12,1,-2,-2,-2
"715",12,1,-2,2,2
"716",12,1,1,2,2
"717",12,1,1,2,2
"718",12,1,2,2,2
"719",12,1,2,2,2
"720",12,1,1,2,2
"721",12,1,1,2,2
"722",12,1,-2,2,2
"723",12,1,3,2,2
"724",12,1,2,2,2
"725",12,1,3,2,2
"726",12,1,1,2,2
"727",12,1,3,2,2
"728",12,1,3,2,2
"729",12,1,-2,2,2
"730",12,1,2,2,2
"731",12,1,1,2,2
"732",12,1,-2,1,2
"733",12,1,-2,2,2
"734",12,1,1,2,2
"735",12,1,1,2,2
"736",12,1,1,1,2
"737",12,1,2,2,2
"738",12,1,1,2,2
"739",12,1,2,2,2
"740",12,1,2,2,2
"741",12,1,1,2,2
"742",12,1,1,2,2
"743",12,1,2,2,2
"744",12,1,2,2,2
"745",12,1,2,2,2
"746",12,1,2,2,2
"747",12,1,2,2,2
"748",12,1,2,2,2
"749",12,1,2,2,2
"750",12,1,2,2,2
"751",12,1,2,2,2
"752",12,1,2,2,2
"753",12,1,2,2,2
"754",12,1,2,2,2
"755",12,1,2,2,2
"756",12,1,2,2,2
"757",12,1,2,2,2
"758",12,1,1,2,2
"759",12,1,1,2,2
"760",12,1,2,2,2
"761",12,1,1,2,2
"762",12,1,1,2,2
"763",12,1,2,2,2
"764",12,1,2,2,2
"765",12,1,1,2,2
"766",12,1,3,2,2
"767",12,1,3,2,2
"768",12,1,-2,2,1
"769",12,1,-2,2,1
"770",12,1,1,2,2
"771",12,1,2,1,2
"772",12,1,-2,2,2
"773",12,1,1,2,2
"774",12,1,-2,2,2
"775",12,1,-2,2,1
"776",12,1,-2,1,1
"777",12,1,2,2,2
"778",12,1,-2,2,2
"779",12,1,-2,2,2
"780",12,1,1,2,2
"781",12,1,2,-2,-2
"782",12,1,3,2,2
"783",12,1,1,2,2
"784",12,1,1,2,2
"785",12,1,2,2,2
"786",12,1,2,1,2
"787",12,1,1,2,2
"788",12,1,3,2,2
"789",12,1,2,2,2
"790",12,1,2,2,2
"791",12,1,1,-2,2
"792",12,1,-2,2,2
"793",12,1,2,2,2
"794",12,1,-2,2,2
"795",12,1,2,2,2
"796",12,1,2,2,2
"797",12,1,1,2,2
"798",12,1,1,2,2
"799",12,1,3,2,2
"800",12,1,1,2,2
"801",12,1,2,2,2
"802",12,1,2,2,2
"803",12,1,1,1,-2
"804",12,1,1,1,2
"805",12,1,2,1,2
"806",12,1,1,2,2
"807",12,1,2,1,2
"808",12,1,2,1,2
"809",12,1,1,2,2
"810",12,1,1,2,1
"811",12,1,2,2,2
"812",12,1,2,1,2
"813",12,1,1,1,2
"814",12,1,1,2,2
"815",12,1,2,2,2
"816",12,1,2,2,2
"817",12,1,1,2,2
"818",12,1,1,2,1
"819",12,1,2,1,2
"820",12,1,1,1,1
"821",12,1,2,2,2
"822",12,1,2,2,2
"823",12,1,2,2,2
"824",12,1,2,2,2
"825",12,1,1,2,2
"826",12,1,2,2,2
"827",12,1,2,2,2
"828",12,1,2,2,2
"829",12,1,1,2,2
"830",12,1,1,2,2
"831",12,1,2,2,2
"832",12,1,2,2,2
"833",12,1,2,2,2
"834",12,1,1,2,2
"835",12,1,2,2,2
"836",12,1,2,2,2
"837",12,1,2,2,2
"838",12,1,2,2,2
"839",12,1,2,2,2
"840",12,1,1,2,2
"841",12,1,2,2,1
"842",12,1,1,2,2
"843",12,1,1,2,2
"844",12,1,1,2,2
"845",12,1,2,2,2
"846",12,1,2,2,2
"847",12,1,2,2,2
"848",12,1,1,2,2
"849",12,1,1,1,2
"850",12,1,2,2,2
"851",12,1,2,2,2
"852",12,1,2,2,2
"853",12,1,1,2,2
"854",12,1,2,2,2
"855",12,1,2,2,2
"856",12,1,2,2,2
"857",12,1,2,2,2
"858",12,1,2,2,2
"859",12,1,1,2,2
"860",12,1,2,2,2
"861",12,1,-2,2,2
"862",12,1,-2,2,2
"863",12,1,2,2,2
"864",12,1,2,2,2
"865",12,1,-2,2,2
"866",12,1,-2,2,1
"867",12,1,1,2,2
"868",12,1,-2,2,2
"869",12,1,-2,2,2
"870",12,1,1,2,2
"871",12,1,3,2,1
"872",12,1,3,2,2
"873",12,1,1,2,1
"874",12,1,1,2,1
"875",12,1,3,2,2
"876",12,1,1,2,2
"877",12,1,1,2,2
"878",12,1,1,2,2
"879",12,1,1,2,2
"880",12,1,1,2,2
"881",12,1,2,2,2
"882",12,1,2,2,2
"883",12,1,2,2,2
"884",12,1,1,2,2
"885",12,1,-2,2,2
"886",12,1,2,2,2
"887",12,1,2,2,2
"888",12,1,1,2,2
"889",12,1,2,2,2
"890",12,1,1,2,2
"891",12,1,1,2,2
"892",12,1,2,2,2
"893",12,1,-2,2,1
"894",12,1,1,2,2
"895",12,1,1,2,2
"896",12,1,-2,2,2
"897",12,1,1,2,2
"898",12,1,-2,2,2
"899",12,1,-2,2,2
"900",12,1,-2,2,2
"901",12,1,2,2,2
"902",12,1,1,2,2
"903",12,1,2,2,2
"904",12,1,2,2,2
"905",12,1,2,2,2
"906",12,1,1,2,2
"907",12,1,2,2,2
"908",12,1,2,2,2
"909",12,1,2,2,2
"910",12,1,2,2,2
"911",12,1,2,2,2
"912",12,1,1,2,2
"913",12,1,1,2,2
"914",12,1,2,2,2
"915",12,1,2,2,2
"916",12,1,2,2,2
"917",12,1,2,2,2
"918",12,1,2,2,2
"919",12,1,2,2,2
"920",12,1,2,2,2
"921",12,1,2,-2,2
"922",12,1,-2,2,2
"923",12,1,2,1,2
"924",12,1,-2,2,2
"925",12,1,1,1,2
"926",12,1,2,2,2
"927",12,1,2,-2,-2
"928",12,1,-2,2,2
"929",12,1,-2,2,2
"930",12,1,1,1,1
"931",12,1,1,2,2
"932",12,1,-2,2,2
"933",12,1,2,2,2
"934",12,1,-2,2,2
"935",12,1,-2,2,2
"936",12,1,-2,2,2
"937",12,1,3,2,2
"938",12,1,2,2,2
"939",12,1,2,2,2
"940",12,1,-2,1,2
"941",12,1,1,1,1
"942",12,1,1,1,2
"943",12,1,2,2,2
"944",12,1,1,1,2
"945",12,1,2,1,2
"946",12,1,1,2,2
"947",12,1,1,1,2
"948",12,1,1,2,2
"949",12,1,1,1,2
"950",12,1,1,2,2
"951",12,1,1,2,2
"952",12,1,1,2,2
"953",12,1,1,2,2
"954",12,1,1,1,2
"955",12,1,1,2,2
"956",12,1,1,2,1
"957",12,1,2,2,2
"958",12,1,1,2,2
"959",12,1,1,2,1
"960",12,1,1,2,2
"961",12,1,2,2,2
"962",12,1,2,2,2
"963",12,1,2,2,2
"964",12,1,2,2,2
"965",12,1,2,2,2
"966",12,1,1,-2,1
"967",12,1,1,1,2
"968",12,1,2,2,2
"969",12,1,2,2,2
"970",12,1,-2,-2,-2
"971",12,1,2,2,2
"972",12,1,2,2,2
"973",12,1,1,2,2
"974",12,1,2,1,2
"975",12,1,2,2,2
"976",12,1,2,2,2
"977",12,1,2,1,2
"978",12,1,2,2,2
"979",12,1,1,2,2
"980",12,1,-2,2,2
"981",12,1,1,2,2
"982",12,1,2,2,2
"983",12,1,1,2,2
"984",12,1,2,2,2
"985",12,1,1,2,2
"986",12,1,1,2,2
"987",12,1,1,2,2
"988",12,1,2,2,2
"989",12,1,2,2,2
"990",12,1,2,2,2
"991",12,1,2,2,2
"992",12,1,2,2,2
"993",12,1,2,2,1
"994",12,1,2,2,2
"995",12,1,2,2,2
"996",12,1,2,2,2
"997",12,1,2,2,2
"998",12,1,1,2,2
"999",12,1,2,2,2
"1000",12,1,2,2,2
"1001",12,1,2,2,2
"1002",12,1,2,2,2
"1003",12,1,2,2,2
"1004",12,1,2,2,2
"1005",12,1,2,2,2
"1006",12,1,2,1,2
"1007",12,1,2,2,2
"1008",12,1,2,2,2
"1009",12,1,2,2,2
"1010",12,1,2,2,2
"1011",12,1,2,2,2
"1012",12,1,2,2,2
"1013",12,1,2,2,2
"1014",12,1,2,2,2
"1015",12,1,2,2,2
"1016",12,1,1,2,2
"1017",12,1,2,2,2
"1018",12,1,2,2,2
"1019",12,1,2,2,2
"1020",12,1,1,2,2
"1021",12,1,2,2,2
"1022",12,1,2,2,2
"1023",12,1,3,2,2
"1024",12,1,2,2,2
"1025",12,1,2,2,2
"1026",12,1,2,2,2
"1027",12,1,2,2,2
"1028",12,1,2,2,2
"1029",12,1,2,2,2
"1030",12,1,2,1,2
"1031",12,1,2,2,2
"1032",12,1,1,2,2
"1033",12,1,2,2,2
"1034",12,1,2,2,2
"1035",12,1,2,2,2
"1036",12,1,2,2,2
"1037",12,1,2,2,2
"1038",12,1,2,2,2
"1039",12,1,1,2,2
"1040",12,1,2,2,2
"1041",12,1,-2,2,2
"1042",12,1,-2,2,2
"1043",12,1,-2,2,2
"1044",12,1,1,2,2
"1045",12,1,1,2,2
"1046",12,1,2,2,2
"1047",12,1,1,2,2
"1048",12,1,-2,-2,-2
