"","PC1","PC2","PC3","PC4","PC5"
"V199_ Very High",NA,NA,NA,NA,NA
"V201_Low",NA,NA,NA,NA,NA
"V201_Med",NA,NA,NA,NA,NA
"V201_High",NA,NA,NA,NA,NA
"V201_ Very High",NA,NA,NA,NA,NA
"V202_Low",NA,NA,NA,NA,NA
"V202_Med",NA,NA,NA,NA,NA
"V202_High",NA,NA,NA,NA,NA
"V202_ Very High",NA,NA,NA,NA,NA
"V203_Low",NA,NA,NA,NA,NA
"V203_Med",NA,NA,NA,NA,NA
"V203_High",NA,NA,NA,NA,NA
"V203_ Very High",NA,NA,NA,NA,NA
"V204_Low",NA,NA,NA,NA,NA
"V204_Med",NA,NA,NA,NA,NA
"V204_High",NA,NA,NA,NA,NA
"V204_ Very High",NA,NA,NA,NA,NA
"V205_Low",NA,NA,NA,NA,NA
"V205_Med",NA,NA,NA,NA,NA
"V205_High",NA,NA,NA,NA,NA
"V205_ Very High",NA,NA,NA,NA,NA
"V207_Low",NA,NA,NA,NA,NA
"V207_Med",NA,NA,NA,NA,NA
"V207_High",NA,NA,NA,NA,NA
"V207_ Very High",NA,NA,NA,NA,NA
"V206_Low",NA,NA,NA,NA,NA
"V206_Med",NA,NA,NA,NA,NA
"V206_High",NA,NA,NA,NA,NA
"V206_ Very High",0.129,NA,NA,NA,NA
"V208_Low",NA,NA,NA,NA,NA
"V208_Med",NA,NA,NA,NA,NA
"V208_High",NA,NA,NA,NA,NA
"V208_ Very High",NA,NA,NA,NA,NA
"V231_Low",NA,NA,NA,NA,NA
"V231_Med",NA,NA,NA,NA,NA
"V231_High",NA,NA,NA,NA,NA
"V231_ Very High",NA,NA,NA,NA,NA
"V232_Low",NA,NA,NA,NA,NA
"V232_Med",NA,NA,NA,NA,NA
"V232_High",NA,NA,NA,NA,NA
"V232_ Very High",NA,NA,NA,NA,NA
"V233_Low",NA,NA,NA,NA,NA
"V233_Med",NA,NA,NA,NA,NA
"V233_High",NA,NA,NA,NA,NA
"V233_ Very High",NA,NA,NA,NA,NA
"V239_Low",NA,NA,NA,NA,NA
"V239_Med",NA,NA,NA,NA,NA
"V239_High",NA,NA,NA,NA,NA
"V239_ Very High",NA,NA,NA,NA,NA
"V161_Med",NA,NA,NA,NA,NA
"V161_High",NA,NA,NA,NA,NA
"V162_Med",NA,NA,NA,NA,NA
"V162_High",NA,NA,NA,NA,0.117
"V163_Med",NA,NA,NA,NA,NA
"V163_High",NA,NA,NA,NA,NA
