"","V161","V162","V163"
"629",4,4,4
"630",4,4,4
"631",0,0,4
"632",0,4,4
"633",3,3,4
"634",0,0,4
"635",0,0,0
"636",0,0,4
"637",0,4,4
"638",0,3,3
"639",1,1,4
"640",-2,-2,-2
"641",2,2,2
"642",4,2,4
"643",2,2,2
"644",3,3,3
"645",3,3,3
"646",2,2,2
"647",2,2,2
"648",2,2,2
"649",2,2,2
"650",2,2,2
"651",-2,2,2
"652",-2,2,2
"653",-2,2,2
"654",-2,2,2
"655",-2,-2,-2
"656",-2,2,2
"657",-2,2,2
"658",2,2,2
"659",-2,2,2
"660",-2,2,2
"661",3,3,3
"662",1,0,2
"663",-2,-2,-2
"664",1,1,1
"665",0,0,0
"666",2,2,2
"667",-2,-2,-2
"668",3,0,2
"669",3,1,3
"670",-2,-2,-2
"671",2,3,2
"672",3,3,3
"673",-2,-2,3
"674",2,2,2
"675",-2,-2,-2
"676",3,2,3
"677",-2,-2,4
"678",3,3,3
"679",3,3,3
"680",-2,-2,-2
"681",3,3,3
"682",3,3,3
"683",3,3,3
"684",3,3,4
"685",4,4,4
"686",3,3,4
"687",4,4,4
"688",4,4,4
"689",2,2,2
"690",3,3,3
"691",3,3,3
"692",1,1,1
"693",3,3,3
"694",4,2,4
"695",3,3,3
"696",3,3,3
"697",3,3,3
"698",-2,-2,-2
"699",4,4,4
"700",4,4,4
"701",1,2,3
"702",3,3,4
"703",2,3,4
"704",3,3,3
"705",-2,-2,-2
"706",3,3,3
"707",2,2,4
"708",1,2,3
"709",3,2,3
"710",4,4,4
"711",-2,-2,-2
"712",0,0,4
"713",0,0,4
"714",-2,-2,-2
"715",4,4,4
"716",0,0,4
"717",-2,-2,-2
"718",2,2,2
"719",4,4,4
"720",4,4,4
"721",3,3,3
"722",3,3,3
"723",3,3,3
"724",3,3,3
"725",3,3,3
"726",3,3,3
"727",3,3,3
"728",3,3,3
"729",2,2,2
"730",3,3,3
"731",1,1,2
"732",2,0,1
"733",1,2,2
"734",2,1,2
"735",4,0,3
"736",2,2,3
"737",0,1,4
"738",0,0,3
"739",3,1,3
"740",3,1,4
"741",4,4,4
"742",4,4,4
"743",4,4,4
"744",4,4,4
"745",4,4,3
"746",4,4,4
"747",4,4,4
"748",4,4,4
"749",4,4,4
"750",4,4,4
"751",0,0,4
"752",-2,-2,-2
"753",-2,-2,-2
"754",-2,-2,-2
"755",0,0,4
"756",4,4,4
"757",0,3,3
"758",4,4,4
"759",-2,-2,-2
"760",0,0,0
"761",1,3,4
"762",2,3,3
"763",0,3,4
"764",3,3,2
"765",4,-2,4
"766",3,3,3
"767",2,2,2
"768",2,2,2
"769",2,2,2
"770",4,4,4
"771",0,3,4
"772",2,3,4
"773",3,3,4
"774",3,-2,4
"775",0,4,4
"776",1,4,4
"777",4,4,4
"778",4,4,4
"779",4,4,4
"780",-2,-2,-2
"781",2,4,4
"782",3,3,4
"783",-2,-2,4
"784",0,3,4
"785",2,3,3
"786",3,3,3
"787",-2,-2,-2
"788",1,2,4
"789",4,3,4
"790",3,3,4
"791",3,3,4
"792",2,2,2
"793",3,0,0
"794",-2,-2,-2
"795",3,3,3
"796",3,2,4
"797",4,4,4
"798",1,2,1
"799",1,2,2
"800",1,3,2
"801",1,2,2
"802",1,2,2
"803",2,2,2
"804",1,3,2
"805",1,3,3
"806",1,2,2
"807",1,2,2
"808",2,2,2
"809",1,2,2
"810",-2,-2,-2
"811",2,1,3
"812",3,1,2
"813",1,2,2
"814",3,1,2
"815",3,1,1
"816",1,3,1
"817",3,1,0
"818",1,3,2
"819",1,3,1
"820",2,3,2
"821",0,0,4
"822",-2,-2,4
"823",0,0,4
"824",2,2,4
"825",0,2,4
"826",0,2,4
"827",0,3,4
"828",0,4,4
"829",0,0,4
"830",-2,-2,-2
"831",0,0,4
"832",3,1,0
"833",0,0,4
"834",-2,-2,4
"835",0,0,4
"836",0,4,4
"837",2,4,4
"838",0,0,4
"839",-2,-2,-2
"840",0,0,0
"841",0,0,2
"842",0,0,4
"843",0,0,4
"844",4,4,4
"845",0,3,3
"846",0,4,4
"847",0,4,4
"848",0,4,4
"849",0,0,0
"850",2,2,2
"851",0,0,4
"852",0,4,4
"853",0,0,4
"854",4,4,4
"855",0,2,4
"856",1,1,1
"857",0,1,4
"858",0,4,3
"859",0,0,0
"860",0,0,0
"861",3,3,4
"862",3,3,4
"863",3,3,3
"864",3,2,2
"865",2,0,4
"866",2,2,4
"867",2,2,4
"868",2,3,3
"869",3,3,4
"870",4,4,4
"871",4,0,4
"872",3,3,3
"873",3,3,3
"874",0,0,1
"875",3,3,4
"876",1,2,4
"877",3,3,4
"878",4,4,3
"879",1,1,1
"880",4,4,4
"881",3,1,3
"882",0,0,0
"883",1,0,3
"884",2,1,3
"885",3,3,3
"886",3,1,0
"887",2,2,2
"888",2,3,4
"889",3,1,3
"890",0,1,2
"891",2,3,3
"892",3,0,3
"893",4,4,4
"894",3,4,4
"895",4,4,4
"896",2,2,2
"897",4,4,4
"898",-2,-2,4
"899",2,3,3
"900",2,2,2
"901",1,1,1
"902",3,3,3
"903",1,1,1
"904",4,4,4
"905",4,4,4
"906",-2,-2,-2
"907",4,4,4
"908",4,2,2
