"","","","R_squared","P_Values"
"171","V111_4","V110_4","0.800909428405325","2.92075097741247e-18"
"172","V115_1_Ref","V117_1_Ref","0.711688311688312","9.48188662286632e-15"
"173","V115_3","V117_3","0.733831692962194","1.46517653580031e-15"
"174","V115_4","V116_4","0.741558441558442","6.96534250028884e-16"
"175","V115_4","V117_4","0.745047132506819","5.2028037561486e-16"
"176","V116_1_Ref","V117_1_Ref","0.785714285714286","1.21270545286552e-17"
"177","V116_2","V117_2","0.723376623376623","3.45589652680322e-15"
"178","V116_4","V115_4","0.741558441558442","6.96534250028884e-16"
"179","V116_4","V117_4","0.810003290528337","1.21367221986544e-18"
"180","V117_1_Ref","V115_1_Ref","0.711688311688312","9.48188662286632e-15"
"181","V117_1_Ref","V116_1_Ref","0.785714285714286","1.21270545286552e-17"
"182","V117_2","V116_2","0.723376623376623","3.45589652680322e-15"
"183","V117_3","V115_3","0.733831692962194","1.46517653580031e-15"
"184","V117_4","V115_4","0.745047132506819","5.2028037561486e-16"
"185","V117_4","V116_4","0.810003290528337","1.21367221986544e-18"
"186","V122_1_Ref","V123_1_Ref","0.788823911630929","9.45307515795254e-18"
"187","V122_2","V123_2","0.771428571428571","4.61036279287749e-17"
"188","V122_3","V123_3","0.749350649350649","3.46487889942494e-16"
"189","V122_4","V123_4","0.789217319961451","8.90606310556942e-18"
"190","V122_4","V124_4","0.75154274830897","2.90173203422351e-16"
"191","V123_1_Ref","V122_1_Ref","0.788823911630929","9.45307515795254e-18"
"192","V123_2","V122_2","0.771428571428571","4.61036279287749e-17"
"193","V123_3","V122_3","0.749350649350649","3.46487889942494e-16"
"194","V123_4","V122_4","0.789217319961451","8.90606310556942e-18"
"195","V123_4","V124_4","0.738141650422352","9.81738066112566e-16"
"196","V124_4","V122_4","0.75154274830897","2.90173203422351e-16"
"197","V124_4","V123_4","0.738141650422352","9.81738066112566e-16"
"198","V222_1_Ref","V223_1_Ref","0.781392322706571","2.07236753716278e-17"
"199","V222_2","V223_2","0.70595900844663","1.81380178631957e-14"
"200","V222_4","V223_4","0.723778655217293","4.01746334978263e-15"
"201","V222_5","V223_5","0.786597267404034","1.27192234682082e-17"
"202","V223_1_Ref","V222_1_Ref","0.781392322706571","2.07236753716278e-17"
"203","V223_1_Ref","V225_3","0.731232066753467","1.83961886976026e-15"
"204","V223_2","V222_2","0.70595900844663","1.81380178631957e-14"
"205","V223_4","V222_4","0.723778655217293","4.01746334978263e-15"
"206","V223_5","V222_5","0.786597267404034","1.27192234682082e-17"
"207","V223_5","V225_1_Ref","0.711732544973374","9.96833841190596e-15"
"208","V225_1_Ref","V223_5","0.711732544973374","9.96833841190596e-15"
"209","V225_3","V223_1_Ref","0.731232066753467","1.83961886976026e-15"
"210","V226_1_Ref","V227_1_Ref","0.794413812603173","5.43684140525855e-18"
"211","V226_2","V227_2","0.739850639865097","8.27106426216294e-16"
"212","V226_3","V227_3","0.774926965196717","3.40447277259977e-17"
"213","V227_1_Ref","V226_1_Ref","0.794413812603173","5.43684140525855e-18"
"214","V227_2","V226_2","0.739850639865097","8.27106426216294e-16"
"215","V227_3","V226_3","0.774926965196717","3.40447277259977e-17"
"216","V146_1_Ref","V9_1_Ref","0.722962038779502","3.65100613692883e-15"
"217","V146_1_Ref","V9_3","-0.718648473034438","5.40610404533312e-15"
"218","V146_1_Ref","V9_4","-0.701754385964912","2.28786026573671e-14"
"219","V146_1_Ref","V19_1_Ref","0.708671684014768","1.24959783993893e-14"
"220","V146_1_Ref","V153_1_Ref","0.700032536156141","2.69249737720429e-14"
"221","V150_3","V151_3","1","4.37607785554014e-14"
"222","V150_4","V151_4","1","1.20529825844464e-13"
"223","V151_3","V150_3","1","4.37607785554014e-14"
"224","V151_4","V150_4","1","1.20529825844464e-13"
"225","V153_1_Ref","V9_1_Ref","0.753736351448104","2.42899370115791e-16"
"226","V153_1_Ref","V9_3","-0.735131660531658","1.3065020609366e-15"
"227","V153_1_Ref","V19_1_Ref","0.709551806708043","1.18045369465804e-14"
"228","V153_1_Ref","V146_1_Ref","0.700032536156141","2.69249737720429e-14"
"229","V153_4","V9_1_Ref","-0.707792207792208","1.32271958330325e-14"
