"","V2","V258","V45","V46"
"784",12,1,1,-4
"785",12,1,1,-4
"786",12,1,1,-4
"787",12,1,1,-4
"788",12,1,1,-4
"789",12,1,3,-4
"790",12,1,2,-4
"791",12,1,1,-4
"792",12,1,3,-4
"793",12,1,1,-4
"794",12,1,1,-4
"795",12,1,1,-4
"796",12,1,1,-4
"797",12,1,1,-4
"798",12,1,1,-4
"799",12,1,1,-4
"800",12,1,1,-4
"801",12,1,1,-4
"802",12,1,1,-4
"803",12,1,2,-4
"804",12,1,1,-4
"805",12,1,1,-4
"806",12,1,2,-4
"807",12,1,1,-4
"808",12,1,1,-4
"809",12,1,2,-4
"810",12,1,1,-4
"811",12,1,2,-4
"812",12,1,3,-4
"813",12,1,1,-4
"814",12,1,1,-4
"815",12,1,1,-4
"816",12,1,1,-4
"817",12,1,2,-4
"818",12,1,1,-4
"819",12,1,2,-4
"820",12,1,1,-4
"821",12,1,3,-4
"822",12,1,1,-4
"823",12,1,3,-4
"824",12,1,1,-4
"825",12,1,1,-4
"826",12,1,1,-4
"827",12,1,1,-4
"828",12,1,1,-4
"829",12,1,3,-4
"830",12,1,1,-4
"831",12,1,2,-4
"832",12,1,1,-4
"833",12,1,1,-4
"834",12,1,2,-4
"835",12,1,3,-4
"836",12,1,1,-4
"837",12,1,3,-4
"838",12,1,1,-4
"839",12,1,3,-4
"840",12,1,1,-4
"841",12,1,3,-4
"842",12,1,2,-4
"843",12,1,1,-4
"844",12,1,1,-4
"845",12,1,3,-4
"846",12,1,3,-4
"847",12,1,2,-4
"848",12,1,1,-4
"849",12,1,1,-4
"850",12,1,3,-4
"851",12,1,2,-4
"852",12,1,1,-4
"853",12,1,2,-4
"854",12,1,1,-4
"855",12,1,2,-4
"856",12,1,1,-4
"857",12,1,2,-4
"858",12,1,1,-4
"859",12,1,1,-4
"860",12,1,1,-4
"861",12,1,2,-4
"862",12,1,1,-4
"863",12,1,1,-4
"864",12,1,1,-4
"865",12,1,3,-4
"866",12,1,1,-4
"867",12,1,1,-4
"868",12,1,-2,-4
"869",12,1,3,-4
"870",12,1,1,-4
"871",12,1,-2,-4
"872",12,1,1,-4
"873",12,1,1,-4
"874",12,1,1,-4
"875",12,1,1,-4
"876",12,1,3,-4
"877",12,1,1,-4
"878",12,1,3,-4
"879",12,1,2,-4
"880",12,1,2,-4
"881",12,1,1,-4
"882",12,1,1,-4
"883",12,1,1,-4
"884",12,1,1,-4
"885",12,1,1,-4
"886",12,1,1,-4
"887",12,1,1,-4
"888",12,1,1,-4
"889",12,1,1,-4
"890",12,1,1,-4
"891",12,1,3,-4
"892",12,1,1,-4
"893",12,1,1,-4
"894",12,1,3,-4
"895",12,1,1,-4
"896",12,1,3,-4
"897",12,1,3,-4
"898",12,1,1,-4
"899",12,1,1,-4
"900",12,1,-2,-4
"901",12,1,1,-4
"902",12,1,1,-4
"903",12,1,3,-4
"904",12,1,1,-4
"905",12,1,1,-4
"906",12,1,1,-4
"907",12,1,-2,-4
"908",12,1,1,-4
"909",12,1,1,-4
