"","PC1","PC2","PC3","PC4","PC5"
"V212_3",0.004,0.038,0.037,0.028,-0.006
"V212_4",-0.019,0.032,0.031,0.026,0.018
"V213_2",0.057,-0.006,-0.001,-0.053,-0.187
"V213_3",0.006,0.029,-0.016,0.068,0.024
"V213_4",-0.004,0.037,-0.011,0.079,0.033
"V214_2",0.068,0.002,-0.015,-0.045,-0.2
"V214_3",0.001,0,-0.009,-0.003,-0.011
"V214_4",-0.001,0.002,0.001,0.003,-0.002
"V216_2",0.036,0.001,-0.01,-0.046,-0.154
"V216_3",0.005,0.003,-0.031,0.04,0.014
"V216_4",-0.017,0.032,-0.002,0.075,0.11
"V243_2",-0.05,-0.112,-0.047,0.124,0.112
"V244_2",-0.051,-0.11,-0.048,0.127,0.113
"V245_2",0.016,0.011,0.007,0.004,0.028
"V246_2",0.007,0.001,0.002,0.003,0.009
"V170_2",0.041,0.075,-0.041,0.016,-0.04
"V170_3",-0.007,-0.066,-0.019,0.03,-0.055
"V170_4",-0.007,-0.02,-0.006,0.009,-0.001
"V171_2",-0.027,-0.062,-0.002,-0.016,-0.027
"V171_3",0.02,-0.057,-0.024,-0.034,-0.025
"V171_4",0.011,0.139,0.048,0.015,0.048
"V172_2",-0.002,-0.056,-0.038,0.057,-0.007
"V172_3",0.037,-0.001,-0.025,-0.035,-0.018
"V172_4",-0.026,0.119,0.102,-0.089,0.011
"V173_2",-0.016,-0.024,-0.013,-0.02,-0.006
"V173_3",0.014,-0.043,-0.03,-0.015,-0.001
"V173_4",0.008,0.049,0.085,-0.005,-0.019
"V174_2",-0.012,-0.023,-0.004,-0.035,-0.009
"V174_3",0.026,-0.042,-0.027,-0.066,-0.024
"V174_4",-0.007,0.025,0.084,0.023,-0.02
"V175_2",-0.008,-0.066,-0.005,-0.011,-0.005
"V175_3",0.011,-0.053,-0.03,-0.041,-0.007
"V175_4",0.003,0.119,0.086,-0.061,-0.052
"V176_5",-0.047,-0.005,0.093,-0.116,0.049
"V177_5",0.017,0,0.104,-0.073,0.01
"V178_5",-0.003,-0.044,0.02,0.068,0.072
"V179_5",-0.004,0.051,0.013,0.007,0.015
"V180_5",-0.01,0.081,0.015,0.012,0.013
"V181_2",0.009,0.03,-0.041,0.011,-0.033
"V181_3",0.035,0.016,0.018,-0.019,0.01
"V181_4",0.038,-0.012,0.073,-0.022,0.057
"V182_2",-0.004,0.052,-0.052,0.013,-0.036
"V182_3",0.023,0.023,0.015,-0.014,0.01
"V182_4",0.057,-0.011,0.061,-0.015,0.067
"V183_2",-0.01,0.024,-0.036,0.032,-0.058
"V183_3",0.065,0.015,0.014,-0.021,0.004
"V183_4",0.071,-0.029,0.052,-0.036,0.081
"V184_2",-0.006,0.032,-0.021,0.034,-0.03
"V184_3",0.08,0.026,0.027,-0.03,0.006
"V184_4",0.05,-0.031,0.039,-0.018,0.054
"V185_2",-0.028,0.028,-0.033,0.045,-0.04
"V185_3",0.043,0.04,-0.002,0.002,-0.021
"V185_4",0.111,-0.014,0.072,-0.059,0.094
"V186_2",0.003,0.016,-0.038,0.023,-0.054
"V186_3",0.045,0.034,-0.013,0,-0.036
"V186_4",0.028,-0.036,0.066,-0.013,-0.001
"V187_2",0.015,-0.031,-0.002,0.166,0.027
"V188_2",-0.033,-0.041,-0.049,0.008,0.014
"V188_3",-0.038,-0.017,-0.041,0.022,0.007
"V188_4",0.084,0.051,0.107,-0.031,-0.024
"V189_2",-0.02,-0.089,-0.032,-0.009,-0.018
"V189_3",-0.014,-0.036,-0.052,-0.044,-0.017
"V189_4",0.043,0.146,0.097,0.053,0.04
"V190_2",-0.046,-0.05,-0.031,-0.006,0.025
"V190_3",-0.042,-0.004,-0.044,-0.005,0.007
"V190_4",0.105,0.055,0.088,0.004,-0.036
"V191_2",-0.05,-0.025,-0.048,0.054,0.037
"V191_3",-0.03,0.002,-0.028,0.03,-0.008
"V191_4",0.107,0.005,0.119,-0.129,-0.059
"V23_Low",-0.015,0.018,-0.006,-0.004,0.002
"V23_Med",-0.027,0.038,-0.018,-0.002,-0.016
"V23_High",0.06,0.007,-0.012,-0.019,-0.008
"V23_ Very High",0.002,-0.075,0.022,0.027,0.027
"V56_Low",-0.008,0.002,0.007,0.014,-0.027
"V56_Med",0.011,0.015,-0.031,0.017,-0.044
"V56_High",0.035,0.029,-0.031,-0.006,-0.011
"V56_ Very High",-0.027,0.004,0.005,0.002,0.024
"V55_Low",-0.006,0.023,0,0.008,-0.005
"V55_Med",-0.008,0.04,-0.012,0.003,-0.027
"V55_High",0.037,0.005,-0.045,-0.039,0
"V55_ Very High",-0.012,-0.082,0.038,0.032,0.031
"V157_Low",0.023,0.029,-0.016,0.028,-0.006
"V157_Med",0.024,-0.005,0.019,0.024,0.005
"V157_High",0.004,-0.022,0.008,-0.01,-0.011
"V157_ Very High",-0.029,-0.032,-0.001,-0.019,0.001
"V158_Low",-0.01,-0.012,0.013,0.017,-0.027
"V158_Med",0.005,-0.012,0.012,0.032,-0.045
"V158_High",0.047,0.013,0.002,-0.002,-0.001
"V158_ Very High",-0.031,0.002,-0.024,-0.01,0.077
"V159_Low",0.037,-0.003,0.022,0.065,-0.019
"V159_Med",0.02,0,0.011,-0.009,-0.019
"V159_High",-0.002,0.007,-0.021,-0.048,-0.016
"V159_ Very High",-0.057,-0.019,-0.016,-0.056,0.059
"V160_Low",0.005,0.003,-0.004,-0.028,-0.018
"V160_Med",0.011,0.007,-0.011,-0.046,-0.033
"V160_High",0.033,0.007,-0.034,0.003,0.009
"V160_ Very High",-0.024,-0.025,0.035,0.13,0.046
"V164_Low",0.018,0.005,0.014,0.037,0.016
"V164_Med",0.005,0.007,0.001,-0.007,-0.019
"V164_High",0.02,0.011,-0.041,-0.056,-0.034
"V164_ Very High",-0.015,-0.038,-0.008,-0.004,0.01
"V59_Low",-0.012,0.027,0.003,0.023,0.047
"V59_Med",-0.013,0.011,-0.017,0.003,-0.015
"V59_High",0.042,-0.012,-0.015,-0.035,-0.055
"V59_ Very High",0.012,-0.042,0.001,-0.012,-0.002
"V95_Low",0.034,-0.012,-0.006,-0.007,-0.014
"V95_Med",0.03,-0.013,-0.074,0.103,-0.015
"V95_High",0.001,-0.007,-0.042,-0.012,-0.003
"V95_ Very High",-0.023,-0.031,-0.032,0.012,0.007
"V96_Low",0.033,0.021,0.001,0.028,0.014
"V96_Med",0.017,0.007,-0.028,-0.016,-0.004
"V96_High",0.006,-0.003,-0.025,-0.057,-0.046
"V96_ Very High",-0.056,-0.031,-0.003,-0.01,-0.006
"V97_Low",0.024,0.01,-0.021,-0.02,0.017
"V97_Med",0.041,0.012,-0.011,-0.019,-0.026
"V97_High",-0.005,-0.002,-0.016,0,-0.029
"V97_ Very High",-0.049,-0.011,0.011,0.066,0.001
"V98_Low",0.015,0.031,-0.008,-0.001,-0.024
"V98_Med",0.02,-0.011,-0.014,-0.017,-0.011
